emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,270.0,250.0,10,4,15,0,2,0,2,2,1,1,0,735000.0
0,105.0,105.0,4,6,23,0,0,0,2,2,1,1,0,115000.0
0,75.0,70.0,4,5,13,8,0,0,2,2,1,1,0,245000.0
0,135.0,133.0,7,3,1,0,1,0,1,1,1,1,0,520000.0
0,275.0,250.0,14,10,15,0,1,0,2,1,1,1,0,750000.0
0,210.0,196.0,10,10,10,0,1,0,2,2,1,1,0,685000.0
0,60.0,50.0,0,5,20,10,0,0,2,2,1,1,0,195000.0
0,400.0,380.0,15,4,24,0,4,0,2,2,1,1,0,500000.0
0,165.0,155.0,7,10,17,0,1,0,2,1,1,1,0,285000.0
0,50.0,40.0,0,3,0,0,0,0,2,2,1,1,0,115000.0
0,100.0,90.0,4,3,0,0,0,0,1,2,1,1,0,350000.0
0,155.0,137.0,7,0,10,0,1,0,2,2,1,1,0,450000.0
0,110.0,95.0,4,9,13,0,0,0,1,2,1,1,0,299000.0
0,185.0,175.0,14,7,15,0,1,0,2,2,1,1,0,360000.0
